Category,Message,label,cleaned_message
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",0.0,"fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.,0.0,am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.
ham,Thought praps you meant another one. Goodo! I'll look tomorrow,0.0,thought praps you meant another one. goodo! i'll look tomorrow
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James.",0.0,"hi jon, pete here, ive bin 2 spain recently & hav sum dinero left, bill said u or ur rents mayb interested in it, i hav 12,000pes, so around £48, tb, james."
ham,There bold 2  &lt;#&gt; . Is that yours,0.0,there bold 2 &lt;#&gt; . is that yours
ham,You know there is. I shall speak to you in  &lt;#&gt;  minutes then,0.0,you know there is. i shall speak to you in &lt;#&gt; minutes then
ham,ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.,0.0,alrite hunny!wot u up 2 2nite? didnt end up goin down town jus da pub instead! jus chillin at da mo in me bedroom!love jen xxx.
ham,I went to project centre,0.0,i went to project centre
ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0.0,as per your request 'maangalyam (alaipayuthe)' has been set as your callertune for all callers. press *9 to copy your friends callertune
ham,Lol yeah at this point I guess not,0.0,lol yeah at this point i guess not
ham,Doing project w frens lor.,0.0,doing project w frens lor.
ham,Lol. Well quality aint bad at all so i aint complaining,0.0,lol. well quality aint bad at all so i aint complaining
ham,"K, can that happen tonight?",0.0,"k, can that happen tonight?"
spam,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive £5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",1.0,"hi, this is mandy sullivan calling from hotmix fm...you are chosen to receive £5000.00 in our easter prize draw.....please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else...."
ham,"I think we're going to finn's now, come",0.0,"i think we're going to finn's now, come"
ham,Why tired what special there you had,0.0,why tired what special there you had
ham,I will come tomorrow di,0.0,i will come tomorrow di
ham,I cant pick the phone right now. Pls send a message,0.0,i cant pick the phone right now. pls send a message
ham,K go and sleep well. Take rest:-).,0.0,k go and sleep well. take rest:-).
ham,U guys never invite me anywhere :(,0.0,u guys never invite me anywhere :(
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,1.0,ur going 2 bahamas! callfreefone 08081560665 and speak to a live operator to claim either bahamas cruise of£2000 cash 18+only. to opt out txt x to 07786200117
ham,I can do that! I want to please you both inside and outside the bedroom...,0.0,i can do that! i want to please you both inside and outside the bedroom...
ham,EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.,0.0,ey! calm downon theacusations.. itxt u cos iwana know wotu r doin at thew/end... haventcn u in ages..ring me if ur up4 nething sat.love j xxx.
ham,I love to wine and dine my lady!,0.0,i love to wine and dine my lady!
spam,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,1.0,someone has conacted our dating service and entered your phone because they fancy you!to find out who it is call from landline 09111030116. pobox12n146tf15
ham,"Im cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",0.0,"im cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! take care & spk sn x."
ham,I don know account details..i will ask my mom and send you.my mom is out of reach now.,0.0,i don know account details..i will ask my mom and send you.my mom is out of reach now.
ham,I think u have the wrong number.,0.0,i think u have the wrong number.
ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),0.0,feel yourself that you are always happy.. slowly it becomes your habit &amp; finally it becomes part of your life.. follow it.. happy morning &amp; have a happy day:)
ham,DO NOT B LATE LOVE MUM,0.0,do not b late love mum
ham,Got it..mail panren paru..,0.0,got it..mail panren paru..
ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,0.0,* was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
ham,Give one miss from that number please,0.0,give one miss from that number please
ham,Jus came back fr lunch wif my sis only. U leh?,0.0,jus came back fr lunch wif my sis only. u leh?
ham,How is your schedule next week? I am out of town this weekend.,0.0,how is your schedule next week? i am out of town this weekend.
ham,Really good:)dhanush rocks once again:),0.0,really good:)dhanush rocks once again:)
ham,Lmao ok I wont be needing u to do my hair anymore.,0.0,lmao ok i wont be needing u to do my hair anymore.
ham,"Miss ya, need ya, want ya, love ya.",0.0,"miss ya, need ya, want ya, love ya."
ham,Sorry i'm not free...,0.0,sorry i'm not free...
ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,0.0,do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
ham,Nt yet chikku..simple habba..hw abt u?,0.0,nt yet chikku..simple habba..hw abt u?
ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",0.0,"got ur mail dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
ham,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL,0.0,sometimes heart remembrs someone very much... forgets someone soon... bcoz heart will not like everyone. but liked ones will be remembered everytime... bslvyl
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan,0.0,joy's father is john. then john is the name of joy's father. mandan
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,1.0,hi 07734396839 ibh customer loyalty offer: the new nokia6600 mobile from only £10 at txtauction!txt word:start to no:81151 & get yours now!4t&
ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...,0.0,hi this is yijue... it's regarding the 3230 textbook it's intro to algorithms second edition... i'm selling it for $50...
spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,1.0,sms auction you have won a nokia 7250i. this is what you get when you win our free auction. to take part send nokia to 86021 now. hg/suite342/2lands row/w1jhl 16+
ham,"K, want us to come by now?",0.0,"k, want us to come by now?"
ham,How. Its a little difficult but its a simple way to enter this place,0.0,how. its a little difficult but its a simple way to enter this place
ham,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,0.0,ha... both of us doing e same thing. but i got tv 2 watch. u can thk of where 2 go tonight or u already haf smth in mind...
ham,Dont show yourself. How far. Put new pictures up on facebook.,0.0,dont show yourself. how far. put new pictures up on facebook.
ham,Watching tv now. I got new job :),0.0,watching tv now. i got new job :)
ham,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!",0.0,"good afternoon sexy buns! how goes the job search ? i wake and you are my first thought as always, my love. i wish your fine and happy and know i adore you!"
ham,"I'm not coming over, do whatever you want",0.0,"i'm not coming over, do whatever you want"
ham,"Its ok chikku, and its my 1 of favourite song..:-)",0.0,"its ok chikku, and its my 1 of favourite song..:-)"
ham,Did u see what I posted on your Facebook?,0.0,did u see what i posted on your facebook?
spam,Call FREEPHONE 0800 542 0578 now!,1.0,call freephone 0800 542 0578 now!
spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,1.0,buy space invaders 4 a chance 2 win orig arcade game console. press 0 for games arcade (std wap charge) see o2.co.uk/games 4 terms + settings. no purchase
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",0.0,"7 wonders in my world 7th you 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms and 1st ""ur lovely friendship""... good morning dear"
spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",1.0,"loan for any purpose £500 - £75,000. homeowners + tenants welcome. have you been previously refused? we can still help. call free 0800 1956669 or text back 'help'"
spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,1.0,big brother alert! the computer has selected u for 10k cash or #150 voucher. call 09064018838. ntt po box cro1327 18+ bt landline cost 150ppm mobiles vary
ham,";-( oh well, c u later",0.0,";-( oh well, c u later"
ham,My uncles in Atlanta. Wish you guys a great semester.,0.0,my uncles in atlanta. wish you guys a great semester.
ham,No dear i do have free messages without any recharge. Hi hi hi,0.0,no dear i do have free messages without any recharge. hi hi hi
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",0.0,"dont search love, let love find u. thats why its called falling in love, bcoz u dont force yourself, u just fall and u know there is smeone to hold u... bslvyl"
ham,I dun believe u. I thk u told him.,0.0,i dun believe u. i thk u told him.
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",0.0,"do you know why god created gap between your fingers..? so that, one who is made for you comes &amp; fills those gaps by holding your hand with love..!"
ham,Yes:)sura in sun tv.:)lol.,0.0,yes:)sura in sun tv.:)lol.
ham,Arun can u transfr me d amt,0.0,arun can u transfr me d amt
ham,Takin a shower now but yeah I'll leave when I'm done,0.0,takin a shower now but yeah i'll leave when i'm done
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...,0.0,am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
ham,U havent lost me ill always b here 4u.i didnt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thats what itried2tell urmom.i careabout u,0.0,u havent lost me ill always b here 4u.i didnt intend 2 hurt u but i never knew how u felt about me when iwas+marine&thats what itried2tell urmom.i careabout u
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",1.0,"win: we have a winner! mr. t. foley won an ipod! more exciting prizes soon, so keep an eye on ur mobile or visit URL"
ham,You bad girl. I can still remember them,0.0,you bad girl. i can still remember them
ham,How much i gave to you. Morning.,0.0,how much i gave to you. morning.
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",0.0,"i hope your alright babe? i worry that you might have felt a bit desparate when you learned the job was a fake ? i am here waiting when you come back, my love"
ham,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone",0.0,"hey, can you tell me blake's address? carlos wanted me to meet him there but i got lost and he's not answering his phone"
ham,Can i get your opinion on something first?,0.0,can i get your opinion on something first?
ham,That one week leave i put know that time. Why.,0.0,that one week leave i put know that time. why.
ham,"If we hit it off, you can move in with me :)",0.0,"if we hit it off, you can move in with me :)"
ham,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?,0.0,excellent. i spent &lt;#&gt; years in the air force. iraq and afghanistan. i am stable and honest. do you like traveling?
ham,I wanna watch that movie,0.0,i wanna watch that movie
ham,Ok lor thanx... Ü in school?,0.0,ok lor thanx... ü in school?
ham,I'm in class. Did you get my text.,0.0,i'm in class. did you get my text.
ham,The bus leaves at  &lt;#&gt;,0.0,the bus leaves at &lt;#&gt;
ham,God bless.get good sleep my dear...i will pray!,0.0,god bless.get good sleep my dear...i will pray!
spam,Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,1.0,todays voda numbers ending 1225 are selected to receive a £50award. if you have a match please call 08712300220 quoting claim code 3100 standard rates app
ham,Do have a nice day today. I love you so dearly.,0.0,do have a nice day today. i love you so dearly.
ham,Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,0.0,aiyo a bit pai seh ü noe... scared he dun rem who i am then die... hee... but he become better lookin oredi leh...
ham,"Aight, I'll ask a few of my roommates",0.0,"aight, i'll ask a few of my roommates"
ham,"Now, whats your house # again ? And do you have any beer there ?",0.0,"now, whats your house # again ? and do you have any beer there ?"
ham,Do ü all wan 2 meet up n combine all the parts? How's da rest of da project going?,0.0,do ü all wan 2 meet up n combine all the parts? how's da rest of da project going?
ham,Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry,0.0,getting tickets 4 walsall tue 6 th march. my mate is getting me them on sat. ill pay my treat. want 2 go. txt bak .terry
ham,Yes we are chatting too.,0.0,yes we are chatting too.
ham,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX,0.0,hi its jess i dont know if you are at work but call me when u can im at home all eve. xxx
ham,Sian... Aft meeting supervisor got work 2 do liao... U working now?,0.0,sian... aft meeting supervisor got work 2 do liao... u working now?
ham,Are you going to write ccna exam this week??,0.0,are you going to write ccna exam this week??
ham,Well i will watch shrek in 3D!!B),0.0,well i will watch shrek in 3d!!b)
ham,Am i that much dirty fellow?,0.0,am i that much dirty fellow?
ham,Dunno dat's wat he told me. Ok lor...,0.0,dunno dat's wat he told me. ok lor...
ham,I'll probably be by tomorrow (or even later tonight if something's going on),0.0,i'll probably be by tomorrow (or even later tonight if something's going on)
ham,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night,0.0,i couldn't say no as he is a dying man and i feel sad for him so i will go and i just wanted you to know i would probably be gone late into your night
ham,If you're thinking of lifting me one then no.,0.0,if you're thinking of lifting me one then no.
ham,Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?,0.0,same as u... dun wan... y u dun like me already ah... wat u doing now? still eating?
ham,Sent me ur email id soon,0.0,sent me ur email id soon
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,0.0,wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
ham,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.",0.0,"dude. what's up. how teresa. hope you have been okay. when i didnt hear from these people, i called them and they had received the package since dec &lt;#&gt; . just thot you'ld like to know. do have a fantastic year and all the best with your reading. plus if you can really really bam first aid for usmle, then your work is done."
ham,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.,0.0,hey gorgeous man. my work mobile number is. have a good one babe. squishy mwahs.
ham,May i call You later Pls,0.0,may i call you later pls
spam,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX",1.0,"hottest pics straight to your phone!! see me getting wet and wanting, just for you xx text pics to 89555 now! txt costs 150p textoperator g696ga 18 xxx"
ham,That's the way you should stay oh.,0.0,that's the way you should stay oh.
ham,Hello- thanx for taking that call. I got a job! Starts on monday!,0.0,hello- thanx for taking that call. i got a job! starts on monday!
ham,What time is ur flight tmr?,0.0,what time is ur flight tmr?
ham,When should I come over?,0.0,when should i come over?
ham,I have a rather prominent bite mark on my right cheek,0.0,i have a rather prominent bite mark on my right cheek
ham,* Will be september by then!,0.0,* will be september by then!
ham,Are you wet right now?,0.0,are you wet right now?
ham,And how's your husband.,0.0,and how's your husband.
spam,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx",1.0,"hack chat. get backdoor entry into 121 chat rooms at a fraction of the cost. reply neo69 or call 09050280520, to subscribe 25p pm. dps, bcm box 8027 ldn, wc1n3xx"
ham,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,0.0,are we doing the norm tomorrow? i finish just a 4.15 cos of st tests. need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
ham,Yeah. I got a list with only u and Joanna if I'm feeling really anti social,0.0,yeah. i got a list with only u and joanna if i'm feeling really anti social
ham,I am in your office na.,0.0,i am in your office na.
ham,Are you comingdown later?,0.0,are you comingdown later?
ham,Super da:)good replacement for murali,0.0,super da:)good replacement for murali
ham,Da is good good player.why he is unsold.,0.0,da is good good player.why he is unsold.
ham,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.,0.0,hi. || do u want | to join me with sts later? || meeting them at five. || call u after class.
ham,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!,0.0,its on in engalnd! but telly has decided it won't let me watch it and mia and elliot were kissing! damn it!
spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",1.0,"free nokia or motorola with upto 12mths 1/2price linerental, 500 free x-net mins&100txt/mth free b'tooth*. call mobileupd8 on 08001950382 or call 2optout/d3wv"
ham,I dont want to hear philosophy. Just say what happen,0.0,i dont want to hear philosophy. just say what happen
ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.,0.0,you got job in wipro:)you will get every thing in life in 2 or 3 years.
ham,Then cant get da laptop? My matric card wif ü lei...,0.0,then cant get da laptop? my matric card wif ü lei...
ham,Dunno da next show aft 6 is 850. Toa payoh got 650.,0.0,dunno da next show aft 6 is 850. toa payoh got 650.
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate",1.0,"this is the 2nd time we have tried 2 contact u. u have won the 750 pound prize. 2 claim is easy, call 08718726970 now! only 10p per min. bt-national-rate"
ham,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.,0.0,i just made some payments so dont have that much. sorry. would you want it fedex or the other way.
ham,They did't play one day last year know even though they have very good team.. Like india.,0.0,they did't play one day last year know even though they have very good team.. like india.
ham,K.:)you are the only girl waiting in reception ah?,0.0,k.:)you are the only girl waiting in reception ah?
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",0.0,"say this slowly.? god,i love you &amp; i need you,clean my heart with your blood.send this to ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
ham,I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.,0.0,i hate when she does this. she turns what should be a fun shopping trip into an annoying day of how everything would look in her house.
ham,"Sir, i am waiting for your call.",0.0,"sir, i am waiting for your call."
ham,What's up. Do you want me to come online?,0.0,what's up. do you want me to come online?
ham,"It could work, we'll reach a consensus at the next meeting",0.0,"it could work, we'll reach a consensus at the next meeting"
ham,Aiyah then i wait lor. Then u entertain me. Hee...,0.0,aiyah then i wait lor. then u entertain me. hee...
ham,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed.",0.0,"the last thing i ever wanted to do was hurt you. and i didn't think it would have. you'd laugh, be embarassed, delete the tag and keep going. but as far as i knew, it wasn't even up. the fact that you even felt like i would do it to hurt you shows you really don't know me at all. it was messy wednesday, but it wasn't bad. the problem i have with it is you have the time to clean it, but you choose not to. you skype, you take pictures, you sleep, you want to go out. i don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. you used to be good about at least making the bed."
ham,I'll let you know when it kicks in,0.0,i'll let you know when it kicks in
ham,You call him now ok i said call him,0.0,you call him now ok i said call him
ham,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.,0.0,call to the number which is available in appointment. and ask to connect the call to waheed fathima.
ham,Or ü go buy wif him then i meet ü later can?,0.0,or ü go buy wif him then i meet ü later can?
ham,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,0.0,mmmm ... fuck ... not fair ! you know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* don't forget ... i know yours too *wicked smile*
ham,Today my system sh get ready.all is well and i am also in the deep well,0.0,today my system sh get ready.all is well and i am also in the deep well
ham,Mom wants to know where you at,0.0,mom wants to know where you at
ham,"Aight, I'll text you when I'm back",0.0,"aight, i'll text you when i'm back"
ham,Dont know supports ass and srt i thnk. I think ps3 can play through usb too,0.0,dont know supports ass and srt i thnk. i think ps3 can play through usb too
ham,Oh ok i didnt know what you meant. Yep i am baby jontin,0.0,oh ok i didnt know what you meant. yep i am baby jontin
spam,You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on,1.0,you have won a guaranteed £1000 cash or a £2000 prize.to claim yr prize call our customer service representative on
spam,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,1.0,would you like to see my xxx pics they are so hot they were nearly banned in the uk!
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,1.0,hmv bonus special 500 pounds of genuine hmv vouchers to be won. just answer 4 easy questions. play now! send hmv to 86688 more info: URL
ham,Watching tv now. I got new job :),0.0,watching tv now. i got new job :)
ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!,0.0,this pen thing is beyond a joke. wont a biro do? don't do a masters as can't do this ever again!
ham,I AM AT A PARTY WITH ALEX NICHOLS,0.0,i am at a party with alex nichols
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,1.0,u have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094594
ham,Just seeing your missed call my dear brother. Do have a gr8 day.,0.0,just seeing your missed call my dear brother. do have a gr8 day.
ham,Ok.. Ü finishing soon?,0.0,ok.. ü finishing soon?
ham,"Sorry, I can't help you on this.",0.0,"sorry, i can't help you on this."
ham,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-(",0.0,"come to me, slave. your doing it again ... going into your shell and unconsciously avoiding me ... you are making me unhappy :-("
ham,I love your ass! Do you enjoy doggy style? :),0.0,i love your ass! do you enjoy doggy style? :)
ham,I think asking for a gym is the excuse for lazy people. I jog.,0.0,i think asking for a gym is the excuse for lazy people. i jog.
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,1.0,dear 0776xxxxxxx u've been invited to xchat. this is our final attempt to contact u! txt chat to 86688 150p/msgrcvdhg/suite342/2lands/row/w1j6hl ldn 18yrs
spam,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or £5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,1.0,urgent! please call 09061743811 from landline. your abta complimentary 4* tenerife holiday or £5000 cash await collection sae t&cs box 326 cw25wx 150ppm
ham,No. On the way home. So if not for the long dry spell the season would have been over,0.0,no. on the way home. so if not for the long dry spell the season would have been over
ham,I gotta collect da car at 6 lei.,0.0,i gotta collect da car at 6 lei.
ham,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,0.0,ok but knackered. just came home and went to sleep! not good at this full time work lark.
ham,Probably earlier than that if the station's where I think it is,0.0,probably earlier than that if the station's where i think it is
spam,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+,1.0,call 09090900040 & listen to extreme dirty live chat going on in the office right now total privacy no one knows your [sic] listening 60p min 24/7mp 0870753331018+
ham,Good Morning plz call me sir,0.0,good morning plz call me sir
spam,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)",1.0,"freemsg hey u, i just got 1 of these video/pic fones, reply wild to this txt & ill send u my pics, hurry up im so bored at work xxx (18 150p/rcvd stop2stop)"
ham,"Uh, heads up we don't have THAT much left",0.0,"uh, heads up we don't have that much left"
ham,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.,0.0,i tot u outside cos darren say u come shopping. of course we nice wat. we jus went sim lim look at mp3 player.
ham,"Aight, sounds good. When do you want me to come down?",0.0,"aight, sounds good. when do you want me to come down?"
ham,Wat would u like 4 ur birthday?,0.0,wat would u like 4 ur birthday?
ham,I love working from home :),0.0,i love working from home :)
ham,And miss vday the parachute and double coins??? U must not know me very well...,0.0,and miss vday the parachute and double coins??? u must not know me very well...
ham,"Sorry, I'll call later",0.0,"sorry, i'll call later"
ham,My sister got placed in birla soft da:-),0.0,my sister got placed in birla soft da:-)
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,1.0,free entry in 2 a weekly comp for a chance to win an ipod. txt pod to 80182 to get entry (std txt rate) t&c's apply 08452810073 for details 18+
ham,Wah... Okie okie... Muz make use of e unlimited... Haha...,0.0,wah... okie okie... muz make use of e unlimited... haha...
ham,"There're some people by mu, I'm at the table by lambda",0.0,"there're some people by mu, i'm at the table by lambda"
ham,And stop being an old man. You get to build snowman snow angels and snowball fights.,0.0,and stop being an old man. you get to build snowman snow angels and snowball fights.
ham,ELLO BABE U OK?,0.0,ello babe u ok?
ham,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u,0.0,hello beautiful r u ok? i've kinda ad a row wiv and he walked out the pub?? i wanted a night wiv u miss u
ham,Then u going ikea str aft dat?,0.0,then u going ikea str aft dat?
ham,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer,0.0,becoz its &lt;#&gt; jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer
ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,0.0,lol grr my mom is taking forever with my prescription. pharmacy is like 2 minutes away. ugh.
ham,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.,0.0,for real tho this sucks. i can't even cook my whole electricity is out. and i'm hungry.
ham,You want to go?,0.0,you want to go?
